,DiatomSizeReduction,Phoneme,InlineSkate,InsectWingbeatSound,Haptics,RefrigerationDevices,WordsSynonyms,Wine,MiddlePhalanxTW,ScreenType,uWaveGestureLibrary_Y,Herring,50words,Worms,Beef,ElectricDevices,Ham,uWaveGestureLibrary_Z,MiddlePhalanxOutlineAgeGroup,Lighting2,WormsTwoClass,HandOutlines,ShapeletSim,uWaveGestureLibrary_X,DistalPhalanxTW,Cricket_Y,MedicalImages,Earthquakes,SmallKitchenAppliances,Cricket_X,DistalPhalanxOutlineCorrect,Cricket_Z,MiddlePhalanxOutlineCorrect,Lighting7,ProximalPhalanxTW,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,Computers,Meat,UWaveGestureLibraryAll,ArrowHead,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,yoga,Adiac,OliveOil,Two_Patterns,FordB,ECG200,ShapesAll,LargeKitchenAppliances,BeetleFly,Car,FordA,ToeSegmentation2,ProximalPhalanxOutlineCorrect,FaceFour,MoteStrain,ECG5000,Symbols,FacesUCR,NonInvasiveFatalECG_Thorax1,NonInvasiveFatalECG_Thorax2,FaceAll,Strawberry,FISH,SonyAIBORobotSurface,ToeSegmentation1,ItalyPowerDemand,StarLightCurves,MALLAT,SwedishLeaf,SonyAIBORobotSurfaceII,synthetic_control,OSULeaf,ECGFiveDays,CBF,wafer,Trace,TwoLeadECG,Coffee,BirdChicken,Plane,Gun_Point
DiatomSizeReduction,0.0,0.3190928270042194,0.32545454545454544,0.37424242424242427,0.5162337662337663,0.4906666666666666,0.5250783699059561,0.7777777777777778,0.5964912280701754,0.6266666666666667,0.6259073143495254,0.59375,0.6395604395604395,0.5966850828729282,0.7,0.7069122033458696,0.6761904761904762,0.7269681742043551,0.72,0.7704918032786885,0.7237569060773481,0.532,0.8611111111111112,0.7490228922389727,0.76,0.7974358974358975,0.7644736842105263,0.8229813664596274,0.76,0.7692307692307693,0.82,0.8,0.8183333333333334,0.8356164383561644,0.8025,0.824390243902439,0.8240093240093241,0.836,0.9166666666666666,0.8213288665549973,0.8685714285714285,0.8296875,0.815,0.8202898550724638,0.843,0.8439897698209718,0.8333333333333334,0.8725,0.8652365236523653,0.91,0.895,0.8853333333333333,0.8,0.9166666666666666,0.8983615662316023,0.9,0.9072164948453608,0.9204545454545454,0.919329073482428,0.9337777777777778,0.907537688442211,0.9365853658536586,0.9567430025445292,0.9531806615776082,0.8940828402366864,0.9543230016313212,0.9485714285714286,0.951747088186356,0.9473684210526316,0.95821185617104,0.9641816415735794,0.9727078891257996,0.9536,0.9548793284365162,0.99,0.962809917355372,0.9918699186991871,0.9988888888888888,0.993672939649578,1.0,0.9991220368744512,1.0,0.8,1.0,0.9933333333333332
Phoneme,0.3006535947712418,0.0,0.25272727272727274,0.3863636363636364,0.48701298701298706,0.4986666666666666,0.5297805642633229,0.6296296296296297,0.5964912280701754,0.6426666666666667,0.644891122278057,0.65625,0.6483516483516484,0.6298342541436464,0.7333333333333333,0.701724808714823,0.7142857142857143,0.7238972640982692,0.7175,0.7704918032786885,0.7624309392265194,0.815,0.9833333333333332,0.7512562814070352,0.7825,0.8025641025641026,0.7657894736842106,0.7453416149068323,0.7973333333333333,0.8025641025641026,0.7933333333333333,0.7871794871794872,0.8133333333333334,0.821917808219178,0.8,0.8536585365853658,0.8356643356643356,0.812,0.9833333333333332,0.8193746510329425,0.7942857142857143,0.8270833333333333,0.8325,0.8304347826086956,0.855,0.8312020460358056,0.9,0.8675,0.8721122112211221,0.89,0.9,0.8933333333333333,0.85,0.9166666666666666,0.9011385726187171,0.9,0.8900343642611683,0.9318181818181818,0.922523961661342,0.938,0.9648241206030149,0.942439024390244,0.9653944020356234,0.95470737913486,0.9396449704142013,0.965742251223491,0.9485714285714286,0.9384359400998336,0.9692982456140352,0.9591836734693876,0.9664885866925692,0.9773987206823028,0.968,0.9685204616998949,0.9833333333333332,0.975206611570248,0.994192799070848,0.9944444444444444,0.9974042829331604,1.0,0.9991220368744512,1.0,0.85,1.0,1.0
InlineSkate,0.052287581699346414,0.3032700421940928,0.0,0.3747474747474748,0.4642857142857143,0.5226666666666666,0.5282131661442007,0.6666666666666666,0.5864661654135338,0.6666666666666666,0.6267448352875489,0.671875,0.6329670329670329,0.5966850828729282,0.7,0.7066528336143172,0.6952380952380952,0.7303182579564489,0.76,0.7377049180327869,0.7513812154696132,0.736,0.85,0.7479061976549414,0.755,0.8076923076923077,0.7618421052631579,0.7639751552795031,0.7759999999999999,0.7743589743589744,0.7916666666666666,0.8,0.8483333333333334,0.8082191780821918,0.7925,0.824390243902439,0.8263403263403264,0.828,0.9333333333333332,0.8190954773869347,0.8228571428571428,0.8104166666666667,0.7925,0.8152173913043478,0.8516666666666667,0.8516624040920716,0.8333333333333334,0.87325,0.8759625962596259,0.93,0.9,0.9013333333333332,0.75,0.8833333333333333,0.904748680921966,0.8461538461538461,0.9003436426116839,0.9204545454545454,0.9249201277955272,0.9375555555555556,0.9326633165829146,0.933658536585366,0.9526717557251908,0.9486005089058523,0.9047337278106508,0.9673735725938009,0.92,0.9450915141430948,0.9429824561403508,0.9562682215743442,0.9655172413793104,0.9688699360341152,0.9568,0.9674711437565582,0.9833333333333332,0.9256198347107438,0.9907084785133564,0.9988888888888888,0.9943218689162882,1.0,0.9991220368744512,1.0,1.0,1.0,1.0
InsectWingbeatSound,0.29411764705882354,0.3280590717299578,0.44545454545454544,0.0,0.4707792207792208,0.4986666666666666,0.5470219435736677,0.6666666666666666,0.5939849624060151,0.624,0.6552205471803462,0.59375,0.6747252747252748,0.6519337016574586,0.7666666666666667,0.7123589677084684,0.6571428571428571,0.7280848687883864,0.7325,0.7377049180327869,0.7292817679558011,0.7659999999999999,0.8611111111111112,0.7668900055834729,0.775,0.8,0.775,0.7981366459627329,0.7946666666666666,0.7743589743589744,0.815,0.8051282051282052,0.8283333333333334,0.9041095890410958,0.8,0.8487804878048779,0.8286713286713286,0.804,0.8833333333333333,0.8235622557230597,0.8571428571428571,0.8205729166666667,0.82,0.8710144927536232,0.8196666666666667,0.8414322250639387,0.8666666666666667,0.8735,0.8734873487348734,0.89,0.9016666666666666,0.8853333333333333,0.9,0.9,0.9050263815606776,0.8538461538461538,0.9106529209621992,0.9204545454545454,0.9305111821086262,0.9391111111111112,0.9477386934673366,0.9297560975609755,0.9633587786259542,0.9516539440203562,0.9035502958579882,0.9673735725938009,0.96,0.9467554076539102,0.9473684210526316,0.9620991253644317,0.9651529868868384,0.9637526652452024,0.9648,0.9779643231899264,0.9866666666666668,0.9834710743801652,0.9907084785133564,0.9933333333333332,0.9970798182998052,1.0,1.0,1.0,0.95,1.0,0.9933333333333332
Haptics,0.2058823529411765,0.3296413502109705,0.3872727272727273,0.3974747474747475,0.0,0.5013333333333333,0.5407523510971787,0.7777777777777778,0.5839598997493735,0.632,0.6348408710217756,0.59375,0.6439560439560439,0.6629834254143646,0.8,0.6905719102580729,0.7047619047619048,0.7280848687883864,0.73,0.7868852459016393,0.7734806629834254,0.8420000000000001,0.9055555555555556,0.7540480178671134,0.7825,0.8025641025641026,0.7710526315789473,0.7795031055900621,0.7733333333333333,0.7743589743589744,0.8083333333333333,0.8128205128205128,0.82,0.821917808219178,0.8075,0.8439024390243902,0.8205128205128205,0.804,0.9,0.8165829145728644,0.8342857142857143,0.82421875,0.8175,0.827536231884058,0.8420000000000001,0.8465473145780051,0.8333333333333334,0.865,0.8674367436743674,0.88,0.8933333333333333,0.904,0.8,0.9333333333333332,0.8922521521799499,0.8923076923076924,0.9209621993127148,0.9318181818181818,0.920926517571885,0.94,0.9376884422110552,0.9302439024390244,0.9582697201017812,0.9562340966921121,0.9568047337278106,0.9608482871125612,0.96,0.9367720465890182,0.9517543859649122,0.95821185617104,0.9627246236036912,0.9727078891257996,0.9664,0.9769150052465896,0.9866666666666668,0.962809917355372,0.994192799070848,0.9977777777777778,0.9952952628163529,1.0,0.9991220368744512,1.0,0.9,1.0,1.0
RefrigerationDevices,0.3006535947712418,0.31856540084388185,0.4254545454545455,0.3818181818181817,0.4805194805194805,0.0,0.54858934169279,0.8333333333333334,0.5789473684210527,0.5973333333333334,0.6393076493579006,0.640625,0.6637362637362637,0.6353591160220995,0.6666666666666666,0.6833095577746077,0.7142857142857143,0.7166387493020658,0.745,0.7377049180327869,0.7513812154696132,0.36,0.9555555555555556,0.7490228922389727,0.79,0.7717948717948718,0.7723684210526316,0.7484472049689441,0.7866666666666666,0.7589743589743589,0.82,0.8076923076923077,0.79,0.7534246575342466,0.7925,0.8536585365853658,0.8193473193473193,0.8079999999999999,0.9166666666666666,0.8188163037409268,0.8171428571428572,0.8299479166666667,0.8325,0.85,0.8643333333333333,0.8491048593350383,0.8333333333333334,0.86625,0.8762376237623762,0.87,0.895,0.8826666666666667,1.0,0.9,0.8966953623993336,0.8846153846153846,0.9037800687285223,0.9318181818181818,0.90814696485623,0.938,0.9537688442211056,0.9429268292682926,0.9653944020356234,0.9541984732824428,0.9579881656804734,0.965742251223491,0.9542857142857144,0.9534109816971714,0.9385964912280702,0.967930029154519,0.9646673142302088,0.9616204690831556,0.9776,0.9853095487932844,0.9833333333333332,0.9793388429752066,0.9849012775842044,0.9877777777777778,0.9975665152498376,1.0,0.9991220368744512,1.0,0.9,1.0,1.0
WordsSynonyms,0.062091503267973865,0.31856540084388185,0.4054545454545455,0.3863636363636364,0.5097402597402597,0.5253333333333333,0.0,0.8333333333333334,0.5789473684210527,0.648,0.6395868230039085,0.640625,0.6637362637362637,0.6629834254143646,0.8,0.711191803916483,0.7238095238095238,0.7194304857621441,0.73,0.7540983606557377,0.7513812154696132,0.8109999999999999,0.7222222222222222,0.7551647124511446,0.7675,0.7692307692307693,0.7907894736842105,0.7981366459627329,0.7893333333333333,0.7948717948717948,0.8,0.7948717948717948,0.8366666666666667,0.8630136986301371,0.7975,0.8439024390243902,0.8275058275058275,0.8,0.9166666666666666,0.8266331658291457,0.8457142857142858,0.8036458333333333,0.8225,0.8536231884057971,0.8586666666666667,0.8516624040920716,0.9,0.87025,0.8671617161716172,0.92,0.8983333333333333,0.8933333333333333,0.9,0.9,0.90169397389614,0.8846153846153846,0.9072164948453608,0.9318181818181818,0.9297124600638976,0.9422222222222222,0.9396984924623116,0.9341463414634148,0.9541984732824428,0.9526717557251908,0.9029585798816568,0.9608482871125612,0.96,0.9051580698835274,0.9649122807017544,0.957240038872692,0.9633317144244778,0.9701492537313432,0.968,0.9643231899265478,0.9833333333333332,0.975206611570248,0.994192799070848,0.9955555555555556,0.995619727449708,1.0,0.9991220368744512,1.0,0.9,1.0,1.0
Wine,0.3006535947712418,0.3164556962025317,0.32181818181818184,0.40303030303030296,0.4902597402597403,0.52,0.5250783699059561,0.0,0.5789473684210527,0.6453333333333333,0.6295365717476271,0.609375,0.6285714285714286,0.6022099447513812,0.6666666666666666,0.7144339255608871,0.6857142857142857,0.7169179229480737,0.7625,0.8032786885245902,0.7458563535911602,0.523,0.9222222222222224,0.7590731434952541,0.75,0.7923076923076923,0.7802631578947369,0.7795031055900621,0.7786666666666666,0.7717948717948718,0.7983333333333333,0.7974358974358975,0.8033333333333333,0.8082191780821918,0.7975,0.8292682926829268,0.8321678321678322,0.828,0.8,0.8207705192629816,0.76,0.7911458333333333,0.7725,0.8268115942028985,0.8496666666666667,0.8491048593350383,0.7,0.87225,0.8726622662266227,0.91,0.8883333333333333,0.904,0.8,0.9166666666666666,0.8936406553735073,0.8769230769230769,0.8934707903780069,0.9318181818181818,0.9345047923322684,0.9395555555555556,0.9246231155778896,0.9453658536585364,0.9582697201017812,0.9536895674300254,0.8792899408284024,0.9690048939641108,0.9485714285714286,0.9534109816971714,0.9649122807017544,0.9650145772594751,0.9537396794560468,0.953091684434968,0.9536,0.9590766002098636,0.9866666666666668,0.9586776859504132,0.975609756097561,0.9944444444444444,0.9944841012329656,1.0,1.0,1.0,1.0,1.0,1.0
MiddlePhalanxTW,0.3006535947712418,0.3243670886075949,0.41818181818181815,0.3661616161616162,0.4545454545454545,0.4933333333333334,0.5611285266457681,0.6666666666666666,0.0,0.6266666666666667,0.6423785594639866,0.671875,0.6549450549450551,0.6353591160220995,0.7666666666666667,0.6895344313318635,0.7238095238095238,0.7177554438860971,0.7375,0.7377049180327869,0.7624309392265194,0.8170000000000001,0.7777777777777778,0.7551647124511446,0.7775,0.7641025641025642,0.7894736842105263,0.7732919254658385,0.76,0.7871794871794872,0.8166666666666667,0.8076923076923077,0.8216666666666667,0.8493150684931506,0.8125,0.8585365853658536,0.8205128205128205,0.8240000000000001,0.65,0.8137911781127861,0.8285714285714286,0.8140625,0.81,0.841304347826087,0.8536666666666667,0.8516624040920716,0.9,0.86875,0.8803630363036303,0.88,0.8883333333333333,0.8906666666666667,1.0,0.9166666666666666,0.8989169675090253,0.8846153846153846,0.9106529209621992,0.9090909090909092,0.9073482428115016,0.9417777777777778,0.9427135678391959,0.9409756097560976,0.9623409669211196,0.9552162849872774,0.9568047337278106,0.9592169657422512,0.96,0.9351081530782028,0.9605263157894736,0.95821185617104,0.9600534239922291,0.9680170575692963,0.9664,0.9779643231899264,0.99,0.987603305785124,0.994192799070848,0.9944444444444444,0.9964308890330954,1.0,1.0,1.0,0.95,1.0,1.0
ScreenType,0.09477124183006536,0.33122362869198313,0.4327272727272728,0.3949494949494949,0.5064935064935064,0.4933333333333334,0.54858934169279,0.8518518518518519,0.5839598997493735,0.0,0.6437744276940257,0.640625,0.6439560439560439,0.6132596685082873,0.8333333333333334,0.7044481908961224,0.7142857142857143,0.7331099944165271,0.73,0.7377049180327869,0.7679558011049724,0.768,0.85,0.7537688442211056,0.7825,0.7846153846153846,0.7776315789473685,0.7857142857142857,0.7893333333333333,0.8,0.8116666666666666,0.7948717948717948,0.8366666666666667,0.7671232876712328,0.8,0.8487804878048779,0.837995337995338,0.8240000000000001,0.9166666666666666,0.8143495254048018,0.8628571428571429,0.82890625,0.825,0.8391304347826087,0.855,0.8491048593350383,0.8,0.867,0.8853135313531353,0.87,0.8966666666666666,0.88,0.9,0.8666666666666667,0.9022493751735629,0.8923076923076924,0.9072164948453608,0.9090909090909092,0.937699680511182,0.9406666666666668,0.9507537688442212,0.9365853658536586,0.9618320610687024,0.9557251908396946,0.9207100591715977,0.9641109298531809,0.9542857142857144,0.9683860232945092,0.9736842105263158,0.957240038872692,0.9658814958717824,0.9616204690831556,0.9776,0.9811122770199372,0.9766666666666668,0.9793388429752066,0.9883855981416956,0.9944444444444444,0.9970798182998052,1.0,0.9991220368744512,1.0,0.85,1.0,1.0
