,DiatomSizeReduction,Phoneme,InlineSkate,InsectWingbeatSound,Haptics,RefrigerationDevices,WordsSynonyms,Wine,MiddlePhalanxTW,ScreenType,uWaveGestureLibrary_Y,Herring,50words,Worms,Beef,ElectricDevices,Ham,uWaveGestureLibrary_Z,MiddlePhalanxOutlineAgeGroup,Lighting2,WormsTwoClass,HandOutlines,ShapeletSim,uWaveGestureLibrary_X,DistalPhalanxTW,Cricket_Y,MedicalImages,Earthquakes,SmallKitchenAppliances,Cricket_X,DistalPhalanxOutlineCorrect,Cricket_Z,MiddlePhalanxOutlineCorrect,Lighting7,ProximalPhalanxTW,ProximalPhalanxOutlineAgeGroup,PhalangesOutlinesCorrect,Computers,Meat,UWaveGestureLibraryAll,ArrowHead,ChlorineConcentration,DistalPhalanxOutlineAgeGroup,CinC_ECG_torso,yoga,Adiac,OliveOil,Two_Patterns,FordB,ECG200,ShapesAll,LargeKitchenAppliances,BeetleFly,Car,FordA,ToeSegmentation2,ProximalPhalanxOutlineCorrect,FaceFour,MoteStrain,ECG5000,Symbols,FacesUCR,NonInvasiveFatalECG_Thorax1,NonInvasiveFatalECG_Thorax2,FaceAll,Strawberry,FISH,SonyAIBORobotSurface,ToeSegmentation1,ItalyPowerDemand,StarLightCurves,MALLAT,SwedishLeaf,SonyAIBORobotSurfaceII,synthetic_control,OSULeaf,ECGFiveDays,CBF,wafer,Trace,TwoLeadECG,Coffee,BirdChicken,Plane,Gun_Point
DiatomSizeReduction,0.0,-0.6568144499178902,0.5617977528089925,-4.755784061696646,5.9999999999999964,-3.1578947368421297,-4.558404558404562,40.0,2.145922746781106,3.0701754385965003,-2.0104895104895113,-9.523809523809524,-2.675585284280944,-10.743801652892552,0.0,-0.34734917733088433,-5.3333333333333295,1.0085337470907638,-1.030927835051555,4.444444444444434,-2.9629629629629552,-28.686327077747986,13.970588235294127,-1.0328292143120599,0.3300330033003377,4.013377926421405,-1.8581081081081068,5.158730158730146,-3.38983050847457,-3.225806451612892,2.7139874739039596,-0.3194888178913727,1.446280991735543,3.389830508474576,-0.9259259259259336,1.197604790419163,1.1444921316166108,2.450980392156865,12.244897959183671,0.5124701059104885,5.555555555555555,0.7271577616187155,-1.5105740181268963,-2.0761245674740496,0.1980982567353321,-0.30211480362538284,-3.8461538461538454,0.5473926822241466,-1.8714909544603842,2.247191011235957,0.0,-1.1904761904761834,-11.111111111111109,1.8518518518518452,-0.33887861983978496,-0.8474576271186289,-0.3773584905660243,0.0,-1.5397775876818052,-0.5914360066240811,-3.7313432835820826,-1.0819165378670565,0.10649627263044727,-0.2662406815761414,-6.613102595797275,-0.3407155025553699,-1.1904761904761816,-0.8665511265164753,-1.3698630136986114,-0.3033367037411398,-0.13832997987927664,0.26373626373627956,-1.9736842105263153,-2.673796791443868,0.677966101694931,-2.1008403361344357,0.23474178403757923,0.4469273743016789,-0.3254678600488487,0.0,-0.08779631255487752,0.0,-19.999999999999996,0.0,-0.6666666666666821
Phoneme,-1.0752688172042972,0.0,-21.91011235955055,-1.6709511568123219,0.0,-1.5789473684210757,-3.7037037037037126,13.33333333333333,2.145922746781106,5.701754385964923,0.9615384615384696,0.0,-1.3377926421404636,-5.785123966942151,4.761904761904761,-1.0786106032906655,0.0,0.5818463925523661,-1.3745704467353963,4.444444444444434,2.2222222222222316,9.249329758713131,30.147058823529395,-0.7377351530800491,3.3003300330033034,4.682274247491637,-1.6891891891891802,-4.761904761904784,1.3559322033898364,0.9677419354838815,-0.6263048016701467,-1.9169329073482497,0.8264462809917409,1.6949152542372812,-1.234567901234569,4.790419161676652,2.575107296137334,-0.4901960784313594,20.408163265306104,0.27331738981892084,-3.4722222222222237,0.41100221308882984,0.6042296072507558,-0.8650519031141907,1.6244057052297864,-1.8126888217522708,3.8461538461538454,-0.02881014116968856,-1.0917030567685544,0.0,0.5586592178770955,-0.2976190476190397,-5.555555555555561,1.8518518518518452,-0.030807147258138757,-0.8474576271186289,-2.264150943396219,1.234567901234567,-1.1976047904191593,-0.14194464158978798,2.3454157782515908,-0.4636785162287251,1.0117145899893536,-0.10649627263045888,-1.8541409147095043,0.8517887563884248,-1.1904761904761816,-2.253032928942817,0.9132420091324461,-0.20222446916078682,0.10060362173037779,0.7472527472527616,-0.49342105263158165,-1.283422459893079,0.0,-0.8403361344537674,0.46948356807514724,0.0,0.048820179007323404,0.0,-0.08779631255487752,0.0,-15.000000000000002,0.0,0.0
InlineSkate,-82.79569892473118,-5.582922824302136,0.0,-4.627249357326466,-4.666666666666673,3.1578947368420858,-3.988603988603989,19.99999999999999,0.42918454935621364,9.649122807017541,-1.879370629370627,2.380952380952381,-3.6789297658862914,-10.743801652892552,0.0,-0.3839122486288812,-2.6666666666666727,1.4740108611326537,4.467353951890031,0.0,0.7407407407407388,-1.3404825737265427,12.5,-1.1803762449280726,-0.33003300330032304,5.351170568561868,-2.1959459459459456,-2.380952380952399,-1.3559322033898364,-2.5806451612903136,-0.8350730688935336,-0.3194888178913727,5.165289256198356,0.0,-2.1604938271605025,1.197604790419163,1.4306151645207499,1.470588235294119,14.285714285714276,0.23915271609155403,0.0,-1.6123932975023738,-4.229607250755291,-2.681660899653986,1.2282091917591091,0.6042296072507526,-3.8461538461538454,0.6338231057332122,-0.6550218340611401,4.494382022471914,0.5586592178770955,0.5952380952380917,-16.666666666666668,-1.8518518518518576,0.36968576709797296,-6.779661016949141,-1.1320754716980972,0.0,-0.9409751924722016,-0.1892595221197055,-1.066098081023447,-1.3910355486862105,-0.3194888178913767,-0.7454739084132123,-5.500618046971577,1.022146507666098,-4.166666666666659,-1.5597920277296462,-1.8264840182648345,-0.5055611729019035,0.0,-0.13186813186811688,-1.6447368421052646,-1.3903743315508232,0.0,-5.882352941176463,0.1173708920187784,0.4469273743016789,-0.2603742880390656,0.0,-0.08779631255487752,0.0,0.0,0.0,0.0
InsectWingbeatSound,-3.225806451612892,2.134646962233169,37.64044943820225,0.0,-3.3333333333333397,-1.5789473684210757,-0.5698005698005727,19.99999999999999,1.7167381974248925,2.6315789473684235,2.5786713286713274,-9.523809523809524,2.675585284280944,-2.4793388429752006,9.523809523809538,0.4204753199268781,-8.000000000000002,1.1636927851047323,0.6872852233676982,0.0,-2.2222222222222165,2.6809651474530707,13.970588235294127,1.3279232755440706,2.31023102310232,4.347826086956521,-0.5067567567567512,1.9841269841269662,1.016949152542374,-2.5806451612903136,2.087682672233813,0.3194888178913727,2.6859504132231478,11.864406779661008,-1.234567901234569,4.191616766467056,1.716738197424889,-1.4705882352941055,8.163265306122447,0.7857874957294093,4.1666666666666625,-0.37938665823585743,-0.9063444108761405,3.9792387543252588,-2.575277337559436,-0.6042296072507526,0.0,0.6626332469029136,-0.9357454772301984,0.0,0.7448789571694523,-1.1904761904761834,0.0,0.0,0.4004929143561487,-5.9322033898305,0.0,0.0,-0.34217279726263394,-0.023657440264952846,0.5330490405117294,-1.803194229778455,0.7987220447284359,-0.42598509052183553,-5.624227441285529,1.022146507666098,0.0,-1.386481802426342,-1.3698630136986114,0.10111223458039918,-0.03772635814888736,-0.6593406593406645,-0.8223684210526323,-0.3208556149732895,0.3389830508474881,0.0,0.1173708920187784,-0.1117318435754253,0.01627339300241515,0.0,0.0,0.0,-5.000000000000004,0.0,-0.6666666666666821
Haptics,-32.25806451612902,2.6272577996716127,19.662921348314633,1.156812339331627,0.0,-1.052631578947384,-1.7094017094017182,40.0,0.0,3.947368421052635,-0.6118881118881107,-9.523809523809524,-2.006688963210712,-0.8264462809917335,14.285714285714299,-2.6508226691042025,-1.3333333333333286,1.1636927851047323,0.34364261168384147,6.666666666666658,3.703703703703709,12.868632707774811,19.85294117647059,-0.36886757654001723,3.3003300330033034,4.682274247491637,-1.0135135135135167,-0.3968253968254188,-1.694915254237285,-2.5806451612903136,1.2526096033402934,1.2779552715654907,1.652892561983468,1.6949152542372812,-0.30864197530864906,3.5928143712574885,0.7153075822603682,-1.4705882352941055,10.204081632653066,-0.06832934745473361,1.3888888888888922,0.06323110970597175,-1.2084592145015116,-1.211072664359859,0.07923930269414076,0.0,-3.8461538461538454,-0.31691155286661254,-1.6219588271990046,-1.1235955056179785,-0.1862197392923693,0.8928571428571561,-11.111111111111109,3.7037037037036904,-1.0166358595194043,-1.69491525423727,1.1320754716981338,1.234567901234567,-1.3686911890504763,0.07097232079488218,-0.5330490405117294,-1.7516743946419155,0.26624068157615305,0.053248136315246865,-0.06180469715698193,0.3407155025553815,0.0,-2.42634315424611,-0.9132420091324115,-0.3033367037411398,-0.2892354124748491,0.26373626373627956,-0.6578947368421013,-0.4278074866310452,0.3389830508474881,-2.1008403361344357,0.46948356807514724,0.33519553072626473,-0.1627339300244299,0.0,-0.08779631255487752,0.0,-9.999999999999998,0.0,0.0
RefrigerationDevices,-1.0752688172042972,-0.8210180623973714,31.46067415730339,-2.827763496143977,-1.333333333333345,0.0,-0.28490028490029645,50.0,-0.8583690987124463,-1.7543859649122702,0.08741258741258973,-2.380952380952381,1.0033444816053476,-4.958677685950401,-4.761904761904761,-3.6745886654478963,0.0,-0.4266873545384131,2.405498281786936,0.0,0.7407407407407388,-51.742627345844504,26.470588235294127,-1.0328292143120599,4.290429042904302,0.6688963210702317,-0.8445945945945901,-4.36507936507938,0.0,-4.516129032258062,2.7139874739039596,0.6389776357827454,-2.0661157024793315,-6.779661016949152,-2.1604938271605025,4.790419161676652,0.5722460658082918,-0.9803921568627461,12.244897959183671,0.20498804236418725,-0.6944444444444393,0.7587733164717013,0.6042296072507558,1.4705882352941135,2.733755942947691,0.30211480362536974,-3.8461538461538454,-0.17286084701815693,-0.6238303181534615,-2.247191011235957,0.0,-1.488095238095223,11.111111111111109,0.0,-0.5237215033887653,-2.5423728813559237,-0.7547169811320606,1.234567901234567,-2.7373823781009525,-0.14194464158978798,1.172707889125819,-0.4121586810922092,1.0117145899893536,-0.1597444089456825,0.06180469715699353,0.8517887563884248,-0.5952380952380792,-0.693240901213171,-2.2831050228310343,0.7077856420626903,-0.08802816901409351,-0.8791208791208784,0.49342105263158165,0.4278074866309999,0.0,-0.4201680672268894,-0.4694835680751024,-0.6703910614525072,0.06509357200973856,0.0,-0.08779631255487752,0.0,-9.999999999999998,0.0,0.0
WordsSynonyms,-79.56989247311827,-0.8210180623973714,25.280898876404525,-1.6709511568123219,4.666666666666651,3.684210526315778,0.0,50.0,-0.8583690987124463,6.578947368421058,0.1311188811188846,-2.380952380952381,1.0033444816053476,-0.8264462809917335,14.285714285714299,0.2559414990859312,1.3333333333333286,-0.0387897595034921,0.34364261168384147,2.2222222222222094,0.7407407407407388,8.713136729222512,-4.411764705882352,-0.22132054592401912,1.3201320132013215,0.33444816053511583,1.520270270270268,1.9841269841269662,0.33898305084746266,0.0,0.20876826722338687,-0.9584664536741317,3.7190082644628135,6.7796610169491665,-1.543209876543218,3.5928143712574885,1.5736766809728127,-1.9607843137254786,12.244897959183671,1.1615989067304306,2.7777777777777843,-2.4343977236800605,-0.6042296072507558,1.903114186851209,2.060221870047541,0.6042296072507526,3.8461538461538454,0.28810141169691117,-1.653150343106671,3.3707865168539355,0.37243947858472615,-0.2976190476190397,0.0,0.0,0.030807147258188023,-2.5423728813559237,-0.3773584905660243,1.234567901234567,-0.42771599657829834,0.307546723444517,-0.31982942430702116,-1.339515713549683,-0.1597444089456825,-0.3194888178913767,-5.686032138442512,0.3407155025553815,0.0,-5.719237435008671,0.45662100456622307,-0.40444893832152745,-0.22635814889337016,0.0,-0.49342105263158165,-1.7112299465240788,0.0,-0.8403361344537674,0.46948356807514724,0.11173184357543647,-0.13018714401954393,0.0,-0.08779631255487752,0.0,-9.999999999999998,0.0,0.0
Wine,-1.0752688172042972,-1.4778325123152443,-0.5617977528089753,2.5706940874035875,0.6666666666666611,2.631578947368416,-4.558404558404562,0.0,-0.8583690987124463,6.140350877192982,-1.4423076923076783,-7.142857142857143,-4.347826086956523,-9.917355371900818,-4.761904761904761,0.7129798903108062,-4.000000000000001,-0.387897595034921,4.810996563573872,8.888888888888884,0.0,-29.89276139410187,22.05882352941179,0.2950940612320255,-0.9900990099009838,3.3444816053511586,0.16891891891892657,-0.3968253968254188,-1.016949152542374,-2.9032258064516028,0.0,-0.6389776357827454,-0.41322314049586356,0.0,-1.543209876543218,1.7964071856287442,2.145922746781118,1.470588235294119,-2.040816326530605,0.44414075845575485,-7.638888888888886,-3.951944356623463,-6.646525679758314,-1.297577854671286,0.9904912836767,0.30211480362536974,-19.23076923076924,0.5185825410544452,-1.0293200249532095,2.247191011235957,-0.7448789571694647,0.8928571428571561,-11.111111111111109,1.8518518518518452,-0.8626001232285749,-3.3898305084745646,-1.88679245283017,1.234567901234567,0.08554319931564064,0.023657440264964663,-1.9189765458421977,-0.15455950540958285,0.26624068157615305,-0.21299254526091776,-8.15822002472187,1.192504258943783,-1.1904761904761816,-0.693240901213171,0.45662100456622307,0.40444893832152745,-1.2198189134808752,-1.7582417582417569,-1.9736842105263153,-2.245989304812846,0.3389830508474881,-2.5210084033613365,-1.4084507042253407,0.0,-0.24410089503662816,0.0,0.0,0.0,0.0,0.0,0.0
MiddlePhalanxTW,-1.0752688172042972,0.9852216748768353,29.213483146067418,-6.812339331619525,-6.666666666666691,-2.631578947368416,1.9943019943019944,19.99999999999999,0.0,3.0701754385965003,0.5681818181818158,2.380952380952381,-0.33444816053509896,-4.958677685950401,9.523809523809538,-2.797074954296159,1.3333333333333286,-0.2715283165244447,1.3745704467353963,0.0,2.2222222222222316,9.517426273458454,2.9411764705882395,-0.22132054592401912,2.640264026402643,-0.33444816053511583,1.3513513513513555,-1.1904761904762138,-3.38983050847457,-0.9677419354838676,2.2964509394571997,0.6389776357827454,1.8595041322314068,5.084745762711857,0.30864197530863535,5.389221556886232,0.7153075822603682,0.9803921568627596,-20.40816326530612,-0.40997608472840164,0.6944444444444527,-1.1697755295605445,-2.1148036253776388,0.43252595155709533,1.4659270998415181,0.6042296072507526,3.8461538461538454,0.11524056467876703,-0.1559575795383685,-1.1235955056179785,-0.7448789571694647,-0.5952380952380794,11.111111111111109,1.8518518518518452,-0.2772643253234582,-2.5423728813559237,0.0,-1.2345679012345547,-2.822925577416605,0.2602318429145995,0.0,-0.618238021638308,0.692225772097977,-0.05324813631522363,-0.06180469715698193,0.17035775127769653,0.0,-2.599653379549414,0.0,-0.3033367037411398,-0.5658953722334139,-0.2197802197802139,-0.6578947368421013,-0.3208556149732895,0.677966101694931,0.42016806722690064,0.46948356807514724,0.0,-0.04882017900733454,0.0,0.0,0.0,-5.000000000000004,0.0,0.0
ScreenType,-68.81720430107526,3.1198686371100215,33.70786516853936,0.514138817480709,3.9999999999999782,-2.631578947368416,-0.28490028490029645,53.33333333333332,0.0,0.0,0.7867132867132901,-2.380952380952381,-2.006688963210712,-8.264462809917353,19.047619047619058,-0.6946983546617842,0.0,1.8619084561675745,0.34364261168384147,0.0,2.9629629629629703,2.9490616621983943,12.5,-0.4057543341940204,3.3003300330033034,2.3411371237458107,-0.1689189189189123,0.3968253968253762,0.33898305084746266,0.6451612903225924,1.6701461377870532,-0.9584664536741317,3.7190082644628135,-5.084745762711871,-1.234567901234569,4.191616766467056,2.8612303290414864,0.9803921568627596,12.244897959183671,-0.34164673727366807,4.861111111111115,0.6323110970597444,-0.3021148036253846,0.1730103806228408,1.6244057052297864,0.30211480362536974,-7.692307692307691,-0.08643042350907847,0.40548970679974805,-2.247191011235957,0.18621973929235688,-1.7857142857142752,0.0,-3.703703703703703,0.09242144177450248,-1.69491525423727,-0.3773584905660243,-1.2345679012345547,0.42771599657825077,0.14194464158978798,0.8528784648187859,-1.0819165378670565,0.6389776357827649,0.0,-3.831891223732996,0.6814310051107282,-0.5952380952380792,0.8665511265164637,1.369863013698646,-0.40444893832152745,0.03772635814888736,-0.8791208791208784,0.49342105263158165,0.0,-0.6779661016948859,-0.4201680672268894,-0.1173708920187784,0.0,0.01627339300241515,0.0,-0.08779631255487752,0.0,-15.000000000000002,0.0,0.0
